timestamp,attackDown,attackDuration,attackForward,attackUp,bossHp,bossMaxHp,bossScene,bossState,bossStateAmount,bvx,bvy,bx,by,canCast,casting,dashCoolDown,dashing,doubleJumping,facingRight,falling,focusing,hp,invulnerable,isAttacking,jumping,maxHp,maxSoul,onGround,pvx,pvy,px,py,shadowDashCoolDown,shadowDashing,soul,gp_axis_left_x,gp_axis_left_y,gp_trigger_right,gp_btn_a,gp_btn_b,gp_btn_x,gp_btn_back,gp_btn_start
1779673794.7701418,0,0.3499999940395355,0,0,593,900,423158243,10,77,-5.955635070800781,-3.999980926513672,34.44001770019531,37.36187744140625,1,0,0.6000000238418579,0,0,1,1,0,7,0,0,0,8,99,0,8.300000190734863,-11.375996589660645,35.20235061645508,29.182567596435547,1.5,0,56,1.0,0.0,0.0,0,0,0,0,0
1779673794.7939584,0,0.3499999940395355,0,0,593,900,423158243,10,77,-5.955635070800781,-5.799980163574219,34.32090377807617,37.24587631225586,1,0,0.6000000238418579,0,0,1,1,0,7,0,0,0,8,99,0,8.300000190734863,-12.323996543884277,35.36834716796875,28.94068145751953,1.5,0,56,1.0,0.0,0.0,0,0,0,0,0
1779673794.8123293,0,0.3499999940395355,0,0,593,900,423158243,10,77,-5.955635070800781,-7.599979400634766,34.20178985595703,37.093875885009766,1,0,0.6000000238418579,0,0,1,1,0,7,0,0,0,8,99,0,8.300000190734863,-13.27199649810791,35.53434371948242,28.679832458496094,1.5,0,56,1.0,0.0,0.0,0,0,0,0,0
1779673794.831314,0,0.3499999940395355,0,0,593,900,423158243,10,77,-5.955635070800781,-9.399978637695312,34.08267593383789,36.90587615966797,1,0,0.6000000238418579,0,0,1,0,0,7,0,0,0,8,99,1,8.300000190734863,0.0,35.700340270996094,28.45830535888672,1.5,0,56,1.0,0.0,0.0,0,0,0,0,0
1779673794.8506987,0,0.3499999940395355,0,0,593,900,423158243,10,77,-5.955635070800781,-11.19997787475586,33.96356201171875,36.68187713623047,1,0,0.6000000238418579,0,0,1,0,0,7,0,0,0,8,99,1,8.300000190734863,0.0,35.866424560546875,28.408096313476562,1.5,0,56,1.0,0.0,0.0,0,0,0,0,0
1779673794.87025,0,0.3499999940395355,0,0,593,900,423158243,10,77,-5.955635070800781,-12.999977111816406,33.84444808959961,36.421878814697266,1,0,0.6000000238418579,0,0,1,0,0,7,0,0,0,8,99,1,8.300000190734863,0.0,36.03242111206055,28.40810775756836,1.5,0,56,1.0,0.0,0.0,0,0,0,0,0
1779673794.8904283,0,0.3499999940395355,0,0,593,900,423158243,10,77,-5.955635070800781,-14.799976348876953,33.72533416748047,36.12588119506836,1,0,0.6000000238418579,0,0,1,0,0,7,0,0,0,8,99,1,8.300000190734863,0.0,36.198421478271484,28.408113479614258,1.5,0,56,1.0,0.0,0.0,0,0,0,0,0
1779673794.9103262,0,0.3499999940395355,0,0,593,900,423158243,10,77,-5.955635070800781,-16.5999755859375,33.60622024536133,35.793880462646484,1,0,0.6000000238418579,0,0,1,0,0,7,0,0,0,8,99,1,8.300000190734863,0.0,36.36442184448242,28.408119201660156,1.5,0,56,1.0,0.0,0.0,0,0,0,0,0
1779673794.9303105,0,0.3499999940395355,0,0,593,900,423158243,10,77,-5.955635070800781,-18.399974822998047,33.48710632324219,35.425880432128906,1,0,0.6000000238418579,0,0,1,0,0,7,0,0,0,8,99,1,8.300000190734863,0.0,36.530418395996094,28.408119201660156,1.5,0,56,1.0,0.0,0.0,0,0,0,0,0
1779673794.9500613,0,0.3499999940395355,0,0,593,900,423158243,10,77,-5.955635070800781,-20.199974060058594,33.36799240112305,35.021881103515625,1,0,0.6000000238418579,0,0,1,0,0,7,0,0,0,8,99,1,8.300000190734863,0.0,36.69633483886719,28.40812110900879,1.5,0,56,1.0,0.0,0.0,0,0,0,0,0
1779673794.970359,0,0.3499999940395355,0,0,593,900,423158243,10,77,-5.955635070800781,-21.99997329711914,33.248878479003906,34.58188247680664,1,0,0.6000000238418579,0,0,1,0,0,7,0,0,0,8,99,1,8.300000190734863,0.0,36.86241912841797,28.40812110900879,1.5,0,56,1.0,0.0,0.0,0,0,0,0,0
1779673794.9903643,0,0.3499999940395355,0,0,593,900,423158243,10,77,-5.955635070800781,-23.799972534179688,33.129764556884766,34.10588455200195,1,0,0.6000000238418579,0,0,1,0,0,7,0,0,0,8,99,1,8.300000190734863,0.0,37.028419494628906,28.40812110900879,1.5,0,56,1.0,0.0,0.0,0,0,0,0,0
1779673795.0102408,0,0.3499999940395355,0,0,593,900,423158243,10,77,-5.955635070800781,-25.599971771240234,33.010650634765625,33.5938835144043,1,0,0.6000000238418579,0,0,1,0,0,7,0,0,0,8,99,1,8.300000190734863,0.0,37.194419860839844,28.40812110900879,1.5,0,56,1.0,0.0,0.0,0,0,0,0,0
1779673795.0303278,0,0.3499999940395355,0,0,593,900,423158243,10,77,-5.955635070800781,-27.39997100830078,32.891536712646484,33.04588317871094,1,0,0.6000000238418579,0,0,1,0,0,7,0,0,0,8,99,1,8.300000190734863,0.0,37.36041259765625,28.40812110900879,1.5,0,56,1.0,0.0,0.0,0,0,0,0,0
1779673795.0502093,0,0.3499999940395355,0,0,593,900,423158243,10,77,-5.955635070800781,-29.199970245361328,32.772422790527344,32.461883544921875,1,0,0.6000000238418579,0,0,1,0,0,7,0,0,0,8,99,1,8.300000190734863,0.0,37.52641296386719,28.40812110900879,1.5,0,56,1.0,0.0,0.0,0,0,0,0,0
1779673795.070409,0,0.3499999940395355,0,0,593,900,423158243,14,77,0.0,0.0,32.6533088684082,31.84188461303711,1,0,0.6000000238418579,0,0,1,0,0,7,0,0,0,8,99,1,8.300000190734863,0.0,37.692413330078125,28.408123016357422,1.5,0,56,1.0,0.0,0.0,0,0,0,0,0
1779673795.0909092,0,0.3499999940395355,0,0,593,900,423158243,14,77,0.0,0.0,32.6533088684082,31.84188461303711,1,0,0.6000000238418579,0,0,1,0,0,7,0,0,0,8,99,1,1.1368683772161603e-13,0.0,37.732513427734375,28.40812110900879,1.5,0,56,0.0,0.0,0.0,0,0,0,0,0
1779673795.1103737,0,0.3499999940395355,0,0,593,900,423158243,14,77,0.0,0.0,32.6533088684082,31.84188461303711,1,0,0.6000000238418579,0,0,1,0,0,7,0,0,0,8,99,1,0.0,0.0,37.732505798339844,28.40812110900879,1.5,0,56,0.0,0.0,0.0,0,0,0,0,0
1779673795.130368,0,0.3499999940395355,0,0,593,900,423158243,14,77,0.0,0.0,32.6533088684082,31.84188461303711,1,0,0.6000000238418579,0,0,1,0,0,7,0,0,0,8,99,1,0.0,0.0,37.732505798339844,28.40812110900879,1.5,0,56,0.0,0.0,0.0,0,0,0,0,0
1779673795.1501544,0,0.3499999940395355,0,0,593,900,423158243,14,77,0.0,0.0,32.6533088684082,31.84188461303711,1,0,0.6000000238418579,0,0,1,0,0,7,0,0,0,8,99,1,-1.1368683772161603e-13,0.0,37.732505798339844,28.40812110900879,1.5,0,56,0.0,0.0,0.0,0,0,0,0,0
1779673795.1704526,0,0.3499999940395355,0,0,593,900,423158243,14,77,0.0,0.0,32.6533088684082,31.84188461303711,1,0,0.6000000238418579,0,0,1,0,0,7,0,0,0,8,99,1,0.0,0.0,37.732505798339844,28.40812110900879,1.5,0,56,0.0,0.0,0.0,0,0,0,0,0
1779673795.1906178,0,0.3499999940395355,0,0,593,900,423158243,14,77,0.0,0.0,32.6533088684082,31.84188461303711,1,0,0.6000000238418579,0,0,1,0,0,7,0,0,0,8,99,1,0.0,0.0,37.732505798339844,28.40812110900879,1.5,0,56,0.0,0.0,0.0,0,0,0,0,0
